,bar,users
0,大渡****络会所,陈**
1,大渡****昊网吧,冯**
2,大渡****木网吧,邓**
3,大渡****力网吧,唐**
4,大渡****来网吧,甯**
5,大渡****（络）,莫**
6,大渡****击网吧,胡**
7,大渡****腾网吧,汪**
8,大渡****特网吧,蒋**
9,大渡****尔网吧,朱**
10,大渡****意网吧,闵**
11,大渡****线网吧,宋**
12,大渡****巢网吧,周**
13,大渡****络会所,李**
14,大渡****下网吧,罗**
15,大渡****蹬网吧,周**
16,大渡****林网吧,李**
17,江北****凡网吧,刘**
18,江北****业网吧,陈**
19,江北****飞网吧,郑**
20,渝中****国网吧,付**
21,渝中****恋网吧,刘**
22,渝中****岸网吧,曾**
23,渝中****浩网吧,李**
24,渝中****浪网吧,周**
25,渝中****上网吧,黄**
26,渝中****网吧),罗**
27,渝中****点网吧,何**
28,渝中****琦网吧,韩**
29,渝中****间网吧,徐**
30,渝中****牛网吧,许**
31,（渝****网吧),唐**
32,渝中****村网吧,晋**
33,渝中****5网吧,陈**
34,渝中****冻网吧,赵**
35,渝中****网吧）,张**
36,渝中****团网吧,胡**
37,渝中****网吧),孙**
38,渝中****利网吧,许**
39,渝中****佳网吧,杨**
40,渝中****琦网吧,周**
41,渝中****园网吧,刘**
42,渝中****点网吧,王**
43,重庆****江门店,李**
44,江北****静网吧,杨**
45,江北****会所）,郑**
46,江北****风网城,袁**
47,江北****彩网吧,于**
48,江北****会所）,梅**
49,渝中****网吧）,甘**
50,渝中****盟网吧,徐**
51,渝中****灿网吧,周**
52,渝中****田网吧,陆**
53,渝中****才网吧,张**
54,渝中****露网吧,陈**
55,渝中****嘉网吧,夏**
56,渝中****水网吧,武**
57,渝中****华网吧,宋**
58,渝中****华网吧,杨**
59,渝中****俱乐部,刘**
60,大渡****腾网吧,杜**
61,大渡****娱会所,胡**
62,大渡****纪网吧,熊**
63,大渡****里网吧,雷**
64,大渡****怡网吧,刘**
65,大渡****点网吧,文**
66,大渡****东网吧,陈**
67,大渡****咣网吧,吴**
68,大渡****约网吧,梁**
69,大渡****向网吧,熊**
70,大渡****乐网吧,李**
71,大渡****安网吧,董**
72,大渡****雨网吧,王**
73,大渡****峰网吧,陶**
74,大渡****尔网吧,陈**
75,大渡****城网吧,卢**
76,大渡****凡网吧,蒋**
77,大渡****会所),刘**
78,大渡****捷网吧,李**
79,大渡****闲网吧,王**
